Age,Salary,Experience_Years,Department,Training_Hours,Performance_Score,Promoted
60,69790,7,HR,58,50.1,0
50,35600,25,Engineering,80,58.45,0
36,70764,4,HR,90,56.29,0
64,104543,36,Engineering,93,85.54,1
29,75714,6,HR,58,45.83,0
42,86835,31,Sales,29,60.76,0
60,103744,19,Engineering,95,74.99,1
40,86491,39,Marketing,72,84.87,1
44,48589,27,Marketing,70,56.8,0
32,73484,10,HR,58,56.27,0
32,112989,26,Marketing,80,76.35,1
45,66212,19,Engineering,10,48.6,0
57,73525,39,Marketing,22,71.83,1
61,77202,3,Sales,96,51.35,0
45,62635,13,Sales,60,50.81,0
24,93208,28,HR,65,74.5,1
43,63828,20,Engineering,92,64.16,0
23,48711,28,Sales,71,66.78,1
45,33420,8,Sales,41,32.56,0
51,30301,39,Engineering,39,63.63,0
59,75236,1,Marketing,38,39.96,0
23,96235,3,Marketing,58,49.51,0
42,84240,13,HR,54,54.41,0
54,95726,28,Marketing,39,72.33,1
33,40492,25,Engineering,25,48.47,0
43,36102,33,Sales,49,54.18,0
46,80336,38,Marketing,28,66.38,1
48,115314,6,HR,27,55.93,0
63,56641,32,Marketing,10,57.36,0
49,64584,21,Engineering,87,67.7,1
37,62745,16,HR,56,49.89,0
36,53093,21,Marketing,75,61.62,0
24,96105,11,HR,47,60.68,0
58,81885,37,Engineering,60,74.82,1
28,66631,36,Sales,72,70.06,1
42,102991,35,Engineering,13,67.0,1
30,34014,19,Engineering,10,41.35,0
60,41093,20,Engineering,17,43.47,0
39,48070,18,Engineering,38,44.32,0
25,65777,14,Sales,64,50.34,0
46,86958,15,Sales,12,46.79,0
35,112074,31,HR,41,73.27,1
30,40729,1,Marketing,19,30.33,0
47,75017,3,Sales,83,56.4,0
23,96320,16,Sales,92,73.48,1
41,57751,23,Marketing,43,52.09,0
49,108069,11,Sales,96,72.87,1
28,84748,12,Engineering,64,59.59,0
29,35801,10,Engineering,41,39.65,0
56,49190,32,Marketing,59,66.1,1
35,79689,16,HR,16,54.72,0
38,80993,8,HR,17,40.05,0
57,59592,38,Marketing,74,69.2,1
61,40647,12,Marketing,66,43.16,0
25,38716,24,Engineering,76,53.68,0
23,118891,28,HR,97,89.32,1
27,117545,8,Sales,96,68.99,1
63,119912,28,Engineering,68,84.18,1
25,100316,36,Marketing,81,79.88,1
50,32368,26,HR,63,56.99,0
39,107575,8,Sales,76,61.89,0
47,36655,28,Sales,60,61.76,0
55,100031,28,Engineering,17,67.61,1
31,106429,37,HR,43,79.76,1
57,117922,36,HR,44,85.08,1
35,85766,27,Marketing,97,74.49,1
52,43403,17,HR,87,54.2,0
36,62097,9,HR,41,45.07,0
29,108657,33,Engineering,55,73.31,1
35,40966,20,HR,25,46.44,0
44,82921,13,Sales,77,62.68,0
61,79726,28,Engineering,46,67.53,1
42,80300,29,Engineering,63,66.82,1
37,52677,13,Marketing,94,60.92,0
39,85609,35,HR,23,67.05,1
45,86661,6,Marketing,64,50.57,0
47,61024,18,Sales,57,50.76,0
46,100313,5,Engineering,91,59.63,0
62,83006,25,Engineering,16,59.9,0
50,45338,2,Engineering,83,46.03,0
36,98027,10,Sales,16,47.21,0
22,110135,30,Sales,42,76.43,1
46,49508,5,Marketing,32,32.93,0
28,33051,33,Marketing,94,67.21,1
30,78747,1,Marketing,28,41.64,0
45,117142,18,HR,28,59.99,0
22,117235,32,Engineering,45,72.71,1
29,84021,11,Engineering,38,51.66,0
45,96412,21,Marketing,69,70.25,1
32,88335,26,Engineering,91,71.98,1
38,86179,25,Marketing,11,60.69,0
29,62093,22,HR,10,45.62,0
56,99678,27,HR,56,69.17,1
56,110738,13,Sales,78,70.83,1
54,69734,33,HR,29,62.78,0
26,102615,34,Marketing,20,65.95,1
63,103523,35,HR,11,66.33,1
60,47019,1,Sales,76,44.3,0
62,113613,21,Engineering,96,77.95,1
49,116672,6,Marketing,21,50.67,0
28,103847,28,Engineering,29,70.16,1
30,112750,17,Sales,14,55.14,0
29,109634,5,Sales,46,51.16,0
33,58251,31,Sales,47,66.61,1
55,55945,5,Engineering,18,36.34,0
54,62217,38,Engineering,62,69.85,1
44,38308,3,Engineering,53,33.43,0
45,35949,23,Engineering,95,62.44,0
58,81990,37,Sales,33,74.25,1
56,31150,37,Sales,90,65.94,1
61,119480,10,Marketing,83,69.37,1
43,104740,10,Marketing,39,52.28,0
48,96617,19,Engineering,68,64.4,0
56,46896,17,HR,96,56.87,0
22,76175,21,HR,90,72.59,1
56,37805,14,Sales,90,55.75,0
58,35237,9,Sales,23,38.96,0
35,50056,1,Sales,18,33.06,0
24,75543,13,Marketing,49,54.04,0
22,86556,4,Marketing,75,50.04,0
26,33343,1,Sales,34,33.69,0
47,43500,32,Sales,82,67.88,1
35,83222,34,Sales,31,70.31,1
60,59375,28,HR,13,53.64,0
48,39662,31,Marketing,35,52.57,0
30,46964,8,HR,67,49.94,0
36,89638,39,HR,38,75.66,1
36,103666,26,Sales,96,75.62,1
47,115067,34,Sales,46,78.07,1
63,97215,3,Engineering,84,56.95,0
34,99042,12,Engineering,79,62.56,0
53,43284,1,HR,27,34.77,0
60,102789,5,Marketing,94,63.65,0
53,114664,30,Sales,51,77.77,1
25,91389,30,Sales,50,74.75,1
51,39435,17,HR,47,50.01,0
58,84340,23,Engineering,43,59.33,0
44,74078,15,Marketing,26,53.37,0
60,108832,37,Engineering,46,82.96,1
36,81293,21,Engineering,34,57.67,0
64,108781,14,Engineering,85,72.9,1
50,90403,2,Engineering,96,60.3,0
57,59124,11,Sales,95,57.23,0
34,73919,39,Sales,94,83.93,1
53,65247,38,Engineering,36,63.21,0
28,92752,34,Marketing,66,72.69,1
43,86573,38,HR,40,76.54,1
49,89101,34,Marketing,15,69.58,1
23,56646,18,Marketing,49,53.46,0
63,53049,30,Marketing,21,54.36,0
27,109605,15,Engineering,62,69.25,1
49,98385,27,Sales,80,72.65,1
49,70158,34,Marketing,19,63.04,0
41,95417,38,Engineering,54,81.55,1
51,53289,33,Marketing,26,59.07,0
32,39823,24,Marketing,35,52.56,0
49,90160,15,Engineering,94,68.59,1
46,71975,30,Sales,71,68.09,1
60,39540,17,Sales,55,50.64,0
54,46364,5,HR,73,40.14,0
22,34611,29,Engineering,11,45.2,0
48,57663,4,HR,63,42.42,0
34,81991,10,HR,74,58.4,0
62,87679,17,HR,60,58.87,0
24,60977,10,Sales,62,52.74,0
60,79115,17,Engineering,45,51.73,0
27,118223,20,HR,35,67.76,1
29,90890,24,Engineering,38,60.72,0
48,96387,5,Engineering,30,52.85,0
30,48071,34,Sales,20,56.72,0
58,89275,6,HR,49,56.22,0
54,102369,2,HR,20,49.09,0
63,41938,13,Engineering,45,42.43,0
45,65195,11,Marketing,68,55.95,0
36,34000,23,Sales,48,51.35,0
53,100588,16,Sales,63,66.35,1
53,68304,31,Sales,64,67.73,1
45,99449,11,Sales,33,58.51,0
62,112986,16,HR,31,63.25,0
33,119643,8,HR,78,70.91,1
60,50764,4,Marketing,65,39.69,0
23,116027,4,Sales,42,54.01,0
24,68494,25,Sales,45,60.67,0
58,33373,3,Engineering,29,27.59,0
38,42161,32,HR,92,64.74,0
23,57350,3,Sales,90,52.59,0
23,55351,27,Marketing,71,64.49,0
49,118668,29,Marketing,82,84.42,1
44,45305,32,HR,35,57.73,0
58,105353,19,Marketing,75,68.39,1
53,106797,21,Marketing,82,74.65,1
54,95953,5,HR,82,61.34,0
22,87458,18,Sales,49,60.76,0
40,50358,28,Sales,26,52.99,0
23,33267,22,Marketing,10,37.42,0
47,112745,21,Marketing,98,77.34,1
53,119588,6,Sales,70,64.6,0
27,68513,1,HR,52,45.28,0
53,56092,5,Marketing,51,47.77,0
25,41338,12,Engineering,34,36.73,0
32,30412,26,HR,48,51.9,0
38,37543,34,Marketing,44,56.89,0
59,63496,14,Marketing,12,40.97,0
45,90692,26,Engineering,53,66.97,1
26,119084,27,Engineering,60,75.22,1
55,74425,9,Sales,21,41.36,0
27,68756,26,HR,28,52.29,0
43,48888,22,HR,53,53.52,0
32,65735,30,Sales,68,67.53,1
37,77295,17,HR,58,57.07,0
54,113042,26,HR,70,81.56,1
30,115999,36,HR,26,73.8,1
27,47955,1,HR,83,48.54,0
37,67841,8,HR,66,51.76,0
50,100640,35,Engineering,64,76.41,1
24,95510,15,HR,56,63.33,0
41,64911,22,Engineering,21,53.73,0
