Age,Experience_Years,Salary,Training_Hours,Performance_Score,Department,Promoted
50,15.1,58199.0,82.0,60.0,Marketing,0
36,10.6,42663.0,56.0,43.4,Engineering,0
29,4.0,25000.0,94.0,29.0,Marketing,1
42,10.9,49310.0,37.0,43.6,Marketing,0
40,15.5,50638.0,55.0,46.6,Sales,0
44,9.9,42264.0,13.0,33.8,Marketing,0
32,3.7,25000.0,97.0,38.5,Marketing,0
32,6.5,25000.0,17.0,22.3,Engineering,0
45,20.3,,70.0,69.8,Engineering,1
57,18.4,62773.0,26.0,46.7,HR,0
45,7.8,26373.0,43.0,30.9,Sales,0
24,1.0,25000.0,29.0,,Marketing,0
43,12.7,49793.0,89.0,54.9,Sales,0
23,0.4,25000.0,83.0,38.0,HR,0
45,16.0,47763.0,43.0,42.3,Sales,0
51,26.1,76705.0,52.0,69.9,Marketing,0
59,21.1,72927.0,19.0,48.0,Engineering,1
23,0.5,25000.0,39.0,22.0,Sales,0
42,10.8,38930.0,34.0,33.8,Marketing,0
54,11.8,40333.0,66.0,44.5,HR,0
33,9.1,42546.0,72.0,43.7,Marketing,0
43,11.5,,80.0,50.4,Sales,0
46,12.8,51549.0,56.0,42.3,Marketing,0
48,18.1,62116.0,93.0,54.3,Marketing,0
49,15.3,52741.0,90.0,54.7,Sales,1
37,10.3,36382.0,12.0,26.3,Sales,0
36,4.7,25000.0,55.0,30.4,HR,0
24,1.6,25000.0,45.0,,Marketing,0
58,31.1,90111.0,35.0,65.4,Engineering,1
28,4.1,25000.0,19.0,20.1,Sales,0
42,17.5,66782.0,43.0,,Marketing,0
30,3.1,25000.0,87.0,32.5,Engineering,0
39,10.0,44029.0,17.0,31.7,Engineering,0
25,2.0,25000.0,64.0,27.4,Marketing,0
46,15.6,46542.0,19.0,39.1,Marketing,0
35,7.0,25000.0,66.0,30.8,Marketing,0
30,4.0,25000.0,88.0,45.6,Engineering,0
47,9.4,37782.0,95.0,45.0,Marketing,0
23,0.5,25000.0,54.0,24.7,Sales,0
41,7.6,27434.0,59.0,43.4,Engineering,0
49,20.0,65139.0,73.0,60.1,Sales,0
28,2.6,25000.0,11.0,23.8,Sales,0
29,2.3,25000.0,54.0,30.4,Marketing,0
56,21.5,77902.0,71.0,69.2,Sales,1
35,8.5,29931.0,23.0,27.2,Marketing,0
38,13.2,,83.0,44.7,Engineering,1
57,22.6,73930.0,24.0,55.9,Sales,0
25,1.5,25000.0,23.0,20.0,Marketing,0
23,0.8,25000.0,40.0,23.8,HR,0
27,3.1,,38.0,22.1,Marketing,0
25,1.0,25000.0,36.0,25.7,HR,0
50,17.9,60199.0,94.0,60.6,Marketing,0
39,14.4,46343.0,18.0,36.9,HR,0
47,13.4,,29.0,37.4,Sales,0
55,15.8,62054.0,67.0,51.7,HR,0
31,3.5,,88.0,,Sales,1
57,13.7,59720.0,97.0,63.8,Sales,0
35,7.3,28924.0,58.0,,Marketing,0
52,19.7,62788.0,66.0,49.3,Sales,0
36,4.9,25000.0,25.0,20.0,Engineering,0
29,6.0,25000.0,84.0,29.8,HR,0
35,9.8,37571.0,17.0,33.7,Marketing,0
44,14.3,42478.0,76.0,49.6,Sales,0
42,15.9,48258.0,28.0,33.1,HR,0
37,5.2,30722.0,76.0,37.2,HR,0
39,10.0,31927.0,45.0,39.5,Engineering,0
45,15.6,56814.0,98.0,59.6,HR,0
47,19.9,53535.0,69.0,56.6,Marketing,0
46,18.5,67300.0,45.0,58.9,Marketing,0
50,13.1,41399.0,20.0,27.0,Sales,0
36,12.1,36668.0,60.0,35.5,Sales,0
22,0.0,25000.0,89.0,34.6,Marketing,0
46,19.8,64652.0,64.0,56.4,HR,0
28,5.3,,63.0,34.6,HR,0
30,3.3,25000.0,26.0,23.9,Engineering,0
45,16.9,54316.0,71.0,35.7,Sales,0
22,0.0,25000.0,51.0,20.3,HR,0
29,3.8,25000.0,33.0,20.0,HR,0
45,14.0,51479.0,26.0,40.4,Sales,1
32,6.5,30565.0,57.0,33.0,Marketing,0
38,13.8,,93.0,49.5,HR,0
29,4.9,28564.0,95.0,,Engineering,0
56,20.0,62871.0,79.0,61.1,HR,0
56,26.7,91042.0,16.0,67.5,HR,0
54,27.9,88761.0,23.0,57.5,Engineering,0
26,1.3,25000.0,20.0,20.0,Marketing,0
49,24.0,84608.0,21.0,60.6,Engineering,0
28,2.1,25000.0,14.0,28.4,Engineering,0
30,6.3,30776.0,14.0,31.8,Sales,0
29,3.3,25000.0,29.0,25.3,HR,0
33,4.2,25000.0,63.0,25.6,Marketing,1
55,18.6,67506.0,64.0,62.2,HR,0
54,22.0,75429.0,67.0,61.4,Marketing,0
44,11.6,,88.0,40.8,Engineering,0
45,7.7,35408.0,99.0,32.7,Sales,0
58,23.7,78933.0,39.0,60.9,Engineering,0
56,28.6,89368.0,33.0,63.0,HR,0
43,11.1,39633.0,96.0,46.1,Sales,1
48,11.2,43458.0,82.0,33.9,Sales,0
56,19.2,,12.0,53.0,HR,0
22,0.0,25000.0,57.0,20.0,Marketing,0
56,26.9,90083.0,80.0,81.5,Sales,1
58,28.6,85802.0,31.0,66.0,Marketing,1
35,8.5,27343.0,23.0,21.4,Marketing,0
24,1.0,26082.0,57.0,31.6,Marketing,0
22,0.0,25000.0,,20.0,Sales,0
26,2.5,25000.0,59.0,,Engineering,0
47,19.9,66826.0,89.0,66.3,Sales,1
35,8.8,39536.0,19.0,20.0,Engineering,0
48,20.0,66439.0,80.0,58.1,Sales,0
30,5.3,26331.0,98.0,37.0,Engineering,0
36,7.7,25000.0,36.0,22.9,Engineering,0
36,12.2,46220.0,88.0,55.7,Sales,0
47,15.6,51916.0,37.0,36.4,Marketing,0
34,8.0,33559.0,18.0,22.9,Marketing,0
53,13.4,40824.0,80.0,33.6,Engineering,0
53,20.9,71301.0,89.0,72.9,HR,1
25,1.9,25000.0,35.0,22.4,HR,1
51,11.9,43670.0,90.0,44.9,Sales,0
58,12.1,39122.0,96.0,45.0,Sales,0
44,14.6,52865.0,,41.8,Sales,0
36,10.6,37646.0,11.0,29.0,HR,0
50,17.2,54146.0,66.0,62.5,Marketing,0
57,15.3,62522.0,61.0,56.2,Sales,0
34,8.4,26717.0,67.0,28.9,Sales,0
53,10.8,27744.0,12.0,20.0,Marketing,0
28,3.4,25000.0,17.0,20.0,Engineering,0
43,8.4,25067.0,68.0,22.8,Sales,0
49,11.1,38125.0,11.0,27.8,HR,0
23,0.4,25000.0,71.0,34.8,HR,0
27,2.7,25000.0,58.0,25.2,Sales,0
49,8.9,34481.0,29.0,24.8,HR,0
49,14.5,43924.0,38.0,44.5,Marketing,0
41,11.5,41862.0,26.0,26.0,Engineering,0
51,17.1,51906.0,83.0,40.9,Engineering,0
32,5.3,25000.0,31.0,20.0,Sales,0
49,21.7,74760.0,15.0,45.1,Sales,0
46,9.3,40962.0,71.0,43.4,Engineering,1
54,19.3,64041.0,40.0,48.9,Engineering,0
22,0.0,25000.0,71.0,,Sales,0
48,8.9,37446.0,,34.9,HR,0
34,7.7,25971.0,21.0,20.0,Sales,0
24,1.3,25000.0,72.0,34.9,Marketing,0
27,4.1,25000.0,25.0,29.2,Sales,0
29,4.4,25000.0,34.0,21.2,Sales,0
48,22.8,71566.0,31.0,57.6,Sales,0
30,2.6,26543.0,97.0,35.9,Sales,0
58,12.9,56180.0,85.0,59.1,Sales,0
54,10.4,45031.0,27.0,27.6,Sales,0
45,9.5,36630.0,54.0,27.0,HR,0
36,8.7,28902.0,89.0,35.1,Sales,0
53,21.3,73862.0,77.0,60.2,Engineering,0
53,10.1,40003.0,21.0,28.3,Sales,0
45,20.0,69342.0,58.0,56.7,HR,0
33,8.9,34154.0,42.0,34.8,Marketing,0
23,0.5,25000.0,95.0,,Engineering,0
24,0.7,25000.0,72.0,26.9,Sales,0
58,14.5,49052.0,27.0,36.3,Sales,0
38,6.0,25000.0,63.0,25.4,Engineering,0
23,0.4,25000.0,36.0,20.0,Sales,0
23,0.6,,92.0,27.0,HR,0
49,12.1,40221.0,87.0,44.6,Sales,0
44,11.3,37344.0,34.0,28.9,Marketing,0
58,32.2,100588.0,43.0,80.5,HR,1
53,22.0,,97.0,58.6,Sales,0
54,27.8,83801.0,69.0,67.0,Marketing,1
22,0.0,25000.0,63.0,38.3,Engineering,0
40,9.5,25000.0,96.0,31.2,HR,0
23,0.6,25000.0,14.0,20.0,Sales,0
47,8.7,41758.0,45.0,30.8,Sales,0
53,9.4,36703.0,63.0,30.3,Engineering,0
27,3.5,25000.0,97.0,43.8,Engineering,0
53,21.2,63860.0,45.0,52.4,HR,0
25,1.6,25000.0,78.0,32.9,HR,0
32,5.9,26050.0,48.0,20.0,HR,0
38,8.8,31929.0,79.0,38.9,Sales,0
59,11.6,43254.0,13.0,37.2,Sales,0
45,11.5,,83.0,45.8,HR,0
26,1.6,25000.0,74.0,34.8,Sales,0
55,11.8,50189.0,94.0,46.6,Engineering,0
27,4.4,25544.0,49.0,28.4,Marketing,0
43,13.9,42097.0,46.0,40.6,Sales,0
32,7.4,34928.0,76.0,29.5,HR,0
37,7.3,29067.0,40.0,21.8,Sales,1
54,17.1,59083.0,90.0,61.8,Engineering,0
30,3.5,25000.0,96.0,40.2,HR,0
27,1.8,25000.0,86.0,26.1,Marketing,1
37,6.1,25000.0,56.0,31.8,HR,0
50,21.8,73024.0,36.0,56.4,HR,0
24,1.4,25000.0,60.0,32.6,HR,0
41,11.9,40249.0,29.0,29.5,Sales,0
57,20.5,71463.0,22.0,55.3,Marketing,0
40,15.4,54635.0,72.0,55.0,Engineering,0
47,8.6,28040.0,53.0,27.5,Sales,0
24,0.9,25000.0,33.0,,Marketing,0
40,9.2,25000.0,12.0,20.0,Marketing,0
41,14.6,48182.0,19.0,44.2,Sales,0
53,27.8,83536.0,74.0,69.9,HR,1
28,2.7,,58.0,23.7,Marketing,0
54,26.4,76835.0,67.0,61.0,Engineering,1
39,13.6,43593.0,86.0,46.9,Sales,0
22,0.0,25000.0,87.0,37.8,Marketing,0
32,5.4,25888.0,11.0,20.0,Engineering,0
49,14.7,51008.0,75.0,58.2,Engineering,0
46,21.3,67486.0,40.0,54.5,Engineering,0
44,9.0,28233.0,77.0,36.6,Engineering,0
52,23.4,76090.0,92.0,68.6,Sales,1
51,14.5,59814.0,46.0,49.2,Engineering,0
56,25.1,78625.0,82.0,68.1,Sales,1
28,3.3,,33.0,28.4,Engineering,0
37,9.7,30997.0,86.0,37.8,Engineering,0
47,20.0,63716.0,53.0,56.9,Sales,0
23,0.8,25000.0,92.0,32.9,HR,0
22,0.0,25000.0,50.0,27.6,Marketing,0
33,3.7,25000.0,83.0,29.2,Marketing,0
26,2.9,25000.0,60.0,34.7,Sales,0
58,13.8,47891.0,51.0,38.0,Engineering,1
53,17.0,58705.0,,54.9,Sales,0
30,5.0,26119.0,49.0,25.6,Engineering,0
56,18.4,70198.0,57.0,56.4,Sales,0
40,11.0,38829.0,93.0,48.1,Marketing,0
37,13.5,38027.0,13.0,26.4,Sales,0
24,0.8,25000.0,69.0,37.4,Marketing,0
41,13.4,54724.0,48.0,42.0,Marketing,0
45,12.4,36386.0,14.0,27.9,Marketing,1
54,12.2,41927.0,15.0,27.1,Sales,0
45,9.1,39305.0,23.0,32.9,HR,0
32,8.7,32118.0,79.0,37.1,Sales,0
29,5.8,25000.0,87.0,33.3,Sales,0
57,29.5,91951.0,21.0,71.4,HR,1
59,33.1,105338.0,71.0,81.2,HR,1
41,8.1,32058.0,36.0,31.5,Marketing,0
56,17.5,59620.0,63.0,48.5,Engineering,0
46,16.8,58745.0,99.0,59.5,Engineering,0
56,20.1,65697.0,21.0,42.0,Marketing,0
46,13.2,,17.0,35.1,Sales,0
50,14.4,61134.0,83.0,56.9,Engineering,0
39,11.2,35235.0,25.0,37.6,Sales,0
39,11.0,32950.0,61.0,34.7,HR,0
23,0.4,25000.0,35.0,31.9,HR,0
56,19.8,59872.0,17.0,44.4,Marketing,1
37,9.5,,54.0,27.8,Sales,0
57,22.5,63104.0,93.0,68.4,Marketing,1
54,13.6,48289.0,90.0,52.4,Engineering,0
25,2.2,25000.0,28.0,20.0,Engineering,1
54,10.1,38863.0,26.0,33.5,Engineering,0
35,6.7,34202.0,74.0,36.1,Sales,0
42,15.4,57679.0,38.0,36.1,Marketing,0
41,12.1,52194.0,23.0,44.1,Marketing,0
29,3.2,25000.0,26.0,27.3,Engineering,0
28,4.3,25069.0,22.0,30.3,Marketing,0
24,1.3,25000.0,72.0,33.2,HR,0
38,12.4,43442.0,42.0,36.1,HR,0
54,23.7,73113.0,38.0,60.5,HR,0
33,7.3,25000.0,46.0,30.1,HR,0
43,12.5,47336.0,92.0,58.1,Marketing,0
43,8.0,38671.0,,36.6,HR,0
51,13.2,40672.0,33.0,32.9,HR,0
59,20.4,68652.0,23.0,46.8,HR,0
59,24.4,83658.0,14.0,61.3,HR,0
29,4.3,25000.0,62.0,21.3,HR,0
48,12.3,51116.0,97.0,57.4,Sales,0
48,7.9,33449.0,39.0,,Sales,0
55,19.7,63124.0,69.0,58.8,HR,0
42,9.4,42351.0,82.0,45.3,HR,0
51,21.5,64381.0,37.0,,Marketing,0
54,10.1,37825.0,35.0,,HR,0
49,17.6,54222.0,,38.5,Engineering,1
54,27.7,79737.0,45.0,,Sales,0
26,1.6,25000.0,17.0,20.0,HR,0
40,10.5,35685.0,27.0,31.9,Sales,0
25,1.1,25000.0,93.0,,HR,0
56,23.0,65627.0,67.0,62.6,Engineering,0
38,10.1,31037.0,41.0,35.5,HR,0
49,14.7,,58.0,41.7,Sales,0
51,17.8,67148.0,57.0,55.2,Sales,0
50,23.5,75643.0,91.0,,Sales,1
27,2.1,25000.0,80.0,37.1,Marketing,0
56,10.7,36102.0,74.0,46.9,Sales,0
58,29.4,87661.0,42.0,58.4,HR,0
45,14.9,50538.0,59.0,43.9,Engineering,0
50,23.4,61712.0,13.0,42.4,Engineering,0
52,19.7,58783.0,93.0,50.8,HR,0
56,26.7,79862.0,45.0,59.8,Marketing,1
54,17.8,59413.0,37.0,49.1,HR,0
42,15.0,49828.0,12.0,34.2,Sales,0
53,26.3,78596.0,15.0,47.7,Marketing,0
44,14.2,51229.0,54.0,,HR,0
54,13.1,49574.0,32.0,40.8,Marketing,0
24,0.9,,16.0,20.4,Engineering,0
39,7.1,32669.0,70.0,,HR,0
46,10.8,43610.0,74.0,45.2,HR,0
52,14.5,44581.0,15.0,31.9,Engineering,0
24,1.3,25000.0,33.0,20.0,Marketing,0
45,15.0,55451.0,46.0,40.8,Engineering,0
53,17.2,64187.0,54.0,57.6,Marketing,0
43,14.1,50005.0,60.0,55.1,HR,0
44,7.7,31284.0,97.0,42.1,Marketing,0
23,0.4,25000.0,54.0,33.0,Marketing,0
48,10.5,44689.0,72.0,43.4,Sales,0
23,0.6,25000.0,38.0,,Sales,0
47,10.7,41993.0,34.0,40.3,Sales,0
38,7.5,28901.0,19.0,31.4,Engineering,0
54,17.3,52766.0,44.0,50.5,Engineering,0
30,6.3,25000.0,64.0,24.1,Sales,0
50,8.6,33114.0,34.0,28.5,HR,0
47,17.2,53730.0,54.0,48.0,HR,0
56,23.8,83469.0,21.0,58.5,HR,0
46,18.7,65308.0,13.0,48.1,Engineering,0
45,19.8,54533.0,99.0,60.3,Marketing,0
34,3.7,25000.0,76.0,36.9,Engineering,0
28,2.4,25000.0,26.0,30.3,Sales,0
57,29.1,86647.0,82.0,72.5,Marketing,1
41,10.9,41137.0,74.0,35.4,HR,0
22,0.0,25000.0,91.0,36.7,Engineering,0
29,4.9,25743.0,62.0,,Engineering,0
37,10.6,37380.0,93.0,41.1,Sales,0
35,11.2,36797.0,66.0,41.2,HR,0
33,9.9,34578.0,37.0,33.9,Engineering,0
44,16.1,51362.0,25.0,40.2,Engineering,0
